name,n_blocks,n_columns,embedding_dim,cluster_k,train_silhouette,test_silhouette,kmeans_ari_stability,archetype_stability
monolithic,1,95,32,5,0.1351080004426765,0.13616600048367694,0.07782679820772716,0.82921302318573
curated_clinical,11,95,188,12,0.060365070785700255,0.06366142712300359,0.5380362433086303,0.8602569699287415
nhanes_prefix,17,95,206,5,0.08838407009716485,0.08954250930741951,0.6884342588962128,0.987011730670929
correlation_blocks,11,95,131,5,0.3639662917960854,0.36298357710175416,0.4019556594554555,0.8841205835342407
random_matched_0,11,95,198,7,0.0952606920970507,0.09256361720327648,0.5557268148436695,0.8717854619026184
random_matched_1,11,95,193,5,0.03992356082800496,0.042523053335025034,0.7727380502551435,0.9828678965568542
random_matched_2,11,95,201,10,0.059984665504824904,0.05889121324694502,0.5717519675302215,0.7712756991386414
random_matched_3,11,95,192,8,0.06880880735650766,0.06686536722915785,0.5626332498115213,0.9666751027107239
random_matched_4,11,95,188,5,0.09890601690466642,0.09143198409796631,0.6758342757223327,0.8721849322319031
